PhraseId,Obs,features
57817,greatest mistake,0
57823,needed sweeping dramatic hollywood moments,2
57824,sweeping dramatic hollywood moments,3
57828,hollywood moments,2
57832,managed make way past crappola radar find small place heart,3
57839,past crappola radar,1
57842,crappola,1
57843,find small place heart,3
57844,find small place,2
57849,diggs lathan among chief reasons brown sugar sweet sexy film,4
57850,diggs lathan,2
57857,chief reasons brown sugar sweet sexy film,4
57860,brown sugar sweet sexy film,4
57865,sweet sexy,3
57866,wonderfully warm human drama remains vividly memory long viewing,3
57867,wonderfully warm human drama remains vividly memory long,4
57870,wonderfully warm,4
57871,human drama,3
57874,remains vividly memory,3
57875,remains vividly,2
57890,flop exception six gags,1
57902,sharp amusing study cult,3
57910,humbling little film fueled light comedic work zhao benshan delicate ways dong jie sort moviegoers complain n make movies like used anymore,3
57916,humbling,2
57917,fueled light comedic work zhao benshan delicate ways dong jie,3
57918,fueled,2
57925,comedic work,2
57930,delicate ways dong jie,2
57950,make movies like used anymore,2
57952,like used anymore,2
57957,unique residences home movie people live carved comfortable niche world kind enough share,4
57962,residences,2
57978,carved comfortable niche,2
57982,niche,2
57987,kind enough,2
58011,film enriched imaginatively mixed cast antic spirits headed christopher plummer subtlest complexly evil uncle ralph ever seen many film stage adaptations work,4
58023,imaginatively mixed,3
58027,antic,2
58028,headed christopher plummer subtlest complexly evil uncle ralph ever seen many film,4
58029,headed christopher plummer,2
58037,subtlest complexly evil,2
58041,complexly,2
58042,uncle ralph,3
58043,uncle,2
58046,seen many film,2
58050,stage adaptations work,2
58051,adaptations work,2
58054,problem needlessly poor quality archival prints film footage,0
58066,prints film footage,2
58072,fulfills,2
58073,minimum requirement disney animation,1
58076,minimum,2
58077,requirement,2
58078,jump cuts fast editing lots pyrotechnics yu clearly hopes camouflage bad movie,0
58086,fast editing,2
58087,lots pyrotechnics,2
58091,clearly hopes camouflage bad movie,0
58100,lrb last metro rrb melodramatic confined single theater company strategies deceptions tavernier concerned entire period history,3
58101,last metro rrb melodramatic confined single theater company strategies deceptions tavernier concerned entire period history,3
58106,metro rrb,2
58107,metro,2
58120,theater company,2
58134,crime story love story unusual,2
58141,every five minutes someone gets clocked,2
58149,clocked,2
58150,well pathetic animal,2
58162,combines sharp comedy old fashioned monster movie atmospherics genuine heart,3
58163,sharp comedy old fashioned monster movie atmospherics genuine heart,4
58169,old fashioned monster movie atmospherics,2
58170,monster movie atmospherics,2
58171,movie atmospherics,2
58172,atmospherics,2
58173,genuine heart,3
58176,create film merely kicking undead also,2
58180,film merely kicking undead,3
58193,regret ultimately,1
58197,finding redemption,2
58198,moretti rare common man artist wise enough recognize things world complex turns fragile happiness,3
58206,common man artist,2
58207,common man,2
58211,wise enough,3
58221,things world complex turns,2
58247,capra cooper rolling graves,1
58248,capra cooper,2
58264,begins like docu drama builds multi character story flourish,4
58271,builds multi character story flourish,4
58272,builds multi character story,3
58275,multi character,2
58283,role almost bergmanesque intensity,3
58286,bergmanesque intensity,2
58287,bergmanesque,2
58288,bisset convincing radiant,4
58289,bisset,3
58295,ever movie upbeat ending feels like copout one,1
58300,movie upbeat ending feels like copout,2
58305,feels like copout,1
58306,like copout,1
58327,spangle,2
58338,dover kosashvili outstanding feature debut potent,3
58339,dover kosashvili outstanding feature debut,3
58344,pure top trash john waters movie beat country mile,0
58347,top trash,1
58352,waters movie,2
58361,lrb reynolds rrb takes classic story casts attractive talented actors uses magnificent landscape create feature film wickedly fun watch,4
58362,lrb reynolds rrb,2
58363,reynolds rrb,2
58364,reynolds,2
58373,casts attractive talented actors,3
58375,attractive talented actors,4
58376,attractive talented,4
58378,uses magnificent landscape create feature film wickedly fun watch,4
58381,landscape create feature film wickedly fun watch,3
58384,feature film wickedly fun watch,4
58399,journey back childhood,3
58404,cares melted away dark theater,3
58406,melted away dark theater,2
58407,melted away,2
58408,melted,2
58412,films ability mesmerize astonish entertain,4
58427,feeling slimed name high art,0
58433,slimed,1
58439,catch stuck script prevents firing cylinders,0
58459,images usually abbreviated favor mushy obviousness telegraphed pathos particularly whitaker misfit artist concerned,2
58465,abbreviated favor mushy obviousness,1
58473,telegraphed pathos particularly whitaker misfit artist concerned,2
58474,telegraphed pathos particularly,2
58479,whitaker misfit artist,2
58482,misfit artist,1
58483,misfit,2
58485,entertaining enough hate mediocre love,2
58486,entertaining enough hate,2
58488,enough hate,3
58495,movie prescribed recommended visually bland dentist waiting room complete soothing muzak cushion predictable narrative rhythms,0
58501,prescribed,3
58509,visually bland dentist waiting room,1
58516,waiting room,2
58517,complete soothing muzak,2
58521,muzak,2
58522,cushion predictable narrative rhythms,2
58527,narrative rhythms,2
58530,takes fresh absorbing look,4
58533,fresh absorbing,4
58537,whose legacy begun bronze,3
58538,whose legacy,2
58544,film give pretty good overall picture situation laramie following murder matthew shepard,3
58548,give pretty good overall picture situation,3
58549,pretty good overall picture situation,3
58552,overall picture,2
58556,laramie,2
58557,following murder matthew shepard,2
58558,murder matthew shepard,2
58561,shepard,2
58567,guys taps powerful emotions,4
58568,taps powerful emotions,3
58572,kind material effective stage,1
58586,alternate sexuality meant set free,2
58590,meant set free,2
58594,may require much relationship maintenance celibacy start looking good,1
58595,require much relationship maintenance celibacy start looking good,2
58596,require much,2
58597,relationship maintenance celibacy start looking good,1
58598,relationship maintenance,2
58599,maintenance,2
58602,celibacy,2
58605,looking good,3
58606,search something different wendigo genuinely bone chilling tale,3
58618,genuinely bone chilling,3
58619,bone chilling,3
58622,riveting profile law enforcement visceral nasty journey,3
58630,enforcement,2
58638,hades,2
58639,movie slides downhill soon macho action conventions assert,0
58642,slides,2
58643,downhill soon macho action conventions assert,1
58644,downhill soon,2
58647,macho action conventions,2
58648,macho,2
58649,action conventions,2
58653,peter jackson done nearly impossible,3
58657,jerky hand held camera documentary feel bloody sunday sobering recount bleak day derry,2
58662,hand held camera documentary feel,3
58663,hand held,2
58664,camera documentary feel,2
58681,characters become wearisome,1
58688,goes rails final minutes wendigo larry fessenden spooky new thriller refreshingly smart newfangled variation several themes derived far less sophisticated knowing horror films,3
58693,rails final minutes,2
58706,larry fessenden spooky new thriller,3
58707,larry fessenden,2
58708,larry,2
58709,spooky new thriller,3
58716,refreshingly smart newfangled,4
58717,smart newfangled,3
58721,several themes,2
58722,derived far less sophisticated knowing horror films,1
58723,derived,2
58728,far less,1
58729,knowing horror films,2
58731,lrb moore rrb better fingering problems finding solutions,1
58732,moore rrb better fingering problems finding solutions,1
58735,better fingering problems finding solutions,1
58737,fingering problems finding solutions,1
58738,fingering,2
58739,problems finding solutions,2
58754,two way,3
58755,time switching myopic mystery,2
58756,time switching,2
58757,myopic mystery,2
58761,stalls,1
58772,gently comic even film breaks heart,4
58773,comic even film breaks heart,2
58774,even film breaks heart,2
58778,fluid motion astounding number levels,4
58790,implies wake,2
58794,intractable irreversible flow history,2
58797,intractable,2
58800,irreversible,2
58801,despite terrific special effects funnier gags harry potter chamber secrets finds way make j k rowling marvelous series deadly bore,0
58802,despite terrific special effects funnier gags,3
58803,terrific special effects funnier gags,3
58806,funnier gags,3
58809,harry potter chamber secrets,2
58823,make j k rowling marvelous series,3
58824,j k rowling marvelous series,4
58829,marvelous series,4
58848,type lives glossy comedy drama resembles ones formulaic mainstream movies,1
58849,type lives glossy comedy drama resembles,2
58854,glossy comedy drama resembles,2
58862,mainstream movies,2
58863,surprisingly film hilarious adventure shamelessly enjoyed,3
58881,manufactured exploitation flick,2
58882,exploitation flick,1
58883,style free exercise manipulation mayhem,2
58886,style free,1
58891,never lets go emotions taking surprising highs sorrowful lows hidden impulsive niches gorgeous passionate times uncommonly moving,3
58894,go emotions taking surprising highs sorrowful lows hidden impulsive niches gorgeous passionate times uncommonly moving,3
58898,taking surprising highs sorrowful lows hidden impulsive niches gorgeous passionate times uncommonly moving,4
58909,sorrowful lows,1
58911,lows,2
58912,hidden impulsive niches,2
58913,impulsive niches,2
58914,impulsive,2
58915,niches,3
58916,gorgeous passionate times uncommonly moving,4
58917,gorgeous passionate,4
58922,uncommonly moving,3
58931,well deserved reputation one,3
58934,well deserved,3
58939,great visual stylists,4
58940,visual stylists,2
58941,stylists,3
58942,film every shot enhances excellent performances,4
58945,every shot,2
58946,enhances excellent performances,4
58964,omission,2
58966,munch screenplay tenderly observant characters,3
58967,munch screenplay,2
58973,tenderly,2
58974,observant characters,3
58975,long dishonorable history quickie teen pop exploitation like mike stands partly synthetic decency,2
58982,dishonorable,1
58985,teen pop exploitation,1
58986,teen pop,3
58996,synthetic decency,2
59001,lacking substance soul crossroads comes shorter britney cutoffs,1
59002,lacking substance soul,1
59003,substance soul,3
59010,shorter britney cutoffs,1
59014,cutoffs,2
59015,unique stubborn charismatic want better successful,2
59016,unique stubborn charismatic,3
59019,stubborn charismatic,2
59042,n fairly pretty pictures,1
59046,fairly pretty,3
59060,know whether admire film stately nature call classicism exasperated noticeable lack pace,2
59061,whether admire film stately nature call classicism exasperated noticeable lack pace,1
59066,film stately nature,2
59067,stately nature,2
59068,call classicism exasperated noticeable lack pace,0
59075,exasperated,1
59082,without resorting camp parody haynes lrb like sirk differently rrb transformed rhetoric hollywood melodrama something provocative rich strange,4
59083,without resorting camp parody,3
59084,resorting camp parody,1
59091,haynes lrb like sirk differently rrb,2
59092,haynes lrb like sirk differently,2
59093,haynes lrb,2
59094,like sirk differently,2
59095,like sirk,2
59096,sirk,3
59102,transformed rhetoric hollywood melodrama,3
59103,rhetoric hollywood melodrama,2
59112,rich strange,3
59124,lot filmmaker wacky without clobbering audience head still maintain sense urgency suspense,3
59135,without clobbering audience head,3
59136,clobbering audience head,1
59137,clobbering audience,1
59138,clobbering,2
59140,still maintain sense urgency suspense,2
59141,maintain sense urgency suspense,3
59142,sense urgency suspense,2
59159,prefer soderbergh concentration two lovers,2
59161,soderbergh concentration two lovers,2
59162,soderbergh concentration,2
59168,mostly male mostly patriarchal debating societies,2
59169,mostly male,2
59172,mostly patriarchal,2
59173,patriarchal,2
59174,debating societies,2
59175,debating,2
59176,societies,2
59182,moving portrait american lrb america rrb always reaching something outside grasp,3
59186,american lrb america rrb,2
59187,american lrb america,2
59191,always reaching something outside grasp,2
59192,reaching something outside grasp,2
59196,outside grasp,1
59198,bella picture health boundless energy days dies,2
59199,bella,2
59202,picture health boundless energy days,2
59207,health,2
59210,boundless,2
59220,charming slight,3
59224,post september sum fears,2
59240,reprehensible,1
59241,manipulating collective fear without bestowing subject intelligence sincerity unequivocally deserves,0
59242,manipulating collective fear,3
59243,manipulating,2
59247,without bestowing subject intelligence sincerity unequivocally deserves,1
59248,bestowing subject intelligence sincerity unequivocally deserves,2
59249,bestowing subject,2
59250,bestowing,2
59259,hit miss affair consistently amusing outrageous funny cho may intended imaginative one might hoped,1
59264,miss affair,2
59268,consistently amusing outrageous funny,3
59275,cho may intended imaginative one might hoped,2
59279,may intended,2
59283,imaginative one,2
59284,might hoped,2
59286,setting cool chills characters reducing emotional stake outcome intacto dangerous seductively stylish game,2
59297,reducing emotional stake outcome intacto dangerous seductively stylish game,2
59298,reducing emotional stake,3
59299,reducing,2
59313,seductively stylish game,3
59314,seductively stylish,3
59315,seductively,2
59316,think riot see rob schneider young woman clothes enjoy hot chick,3
59327,rob schneider young woman clothes,2
59343,wo n drop jaw,2
59344,drop jaw,3
59347,warm heart giving strong thumbs,4
59360,beneath uncanny inevitable seemingly shrewd facade movie biz farce lies plot cobbled together largely flat uncreative moments,0
59361,beneath uncanny inevitable seemingly shrewd facade movie biz farce,2
59362,uncanny inevitable seemingly shrewd facade movie biz farce,1
59367,inevitable seemingly,2
59369,shrewd facade,2
59371,facade,2
59378,plot cobbled together largely flat uncreative moments,0
59379,cobbled together largely flat uncreative moments,0
59382,largely flat uncreative,1
59383,flat uncreative,1
59385,uncreative,1
59388,slow silly unintentionally,0
59390,silly unintentionally,1
59392,imamura said warm water red bridge poem enduring strengths women,3
59399,red bridge poem enduring strengths women,4
59408,thanks small star big heart family film sequel plenty fun,4
59409,thanks small star big heart,3
59419,film sequel,2
59426,makes film special refreshingly unhibited enthusiasm people spite clearly evident poverty hardship bring music,3
59436,refreshingly unhibited,3
59437,unhibited,3
59446,clearly evident,2
59448,poverty hardship,2
59450,hardship,2
59455,story movie tells brian de palma addiction junk calorie suspense tropes ruined career,1
59456,story movie tells,2
59457,movie tells,2
59467,addiction,2
59472,junk calorie,1
59473,suspense tropes,2
59478,ruined,1
59487,nerve raked,2
59488,crackle lines impressive stagings hardware,3
59494,impressive stagings hardware,3
59497,stagings,2
59505,robust scary,3
59518,walked delicate tightrope farcical loathsome,1
59519,delicate tightrope farcical loathsome,1
59522,tightrope,2
59527,loathsome,1
59528,even accepting right frame mind provide much leniency,1
59529,accepting right frame mind provide much leniency,3
59530,accepting right frame mind,2
59543,leniency,2
59544,hypnotic cyber hymn cruel story youth culture,3
59548,cyber,2
59549,hymn cruel story youth culture,1
59552,cruel story youth culture,2
59557,soured santa clause santa bumps st century reality hard icky,0
59560,soured,2
59561,santa clause santa bumps st century reality hard,2
59567,bumps st century reality hard,2
59572,st century reality,2
59574,century reality,2
59581,often lingers long irrelevant engaging gradually turns time,1
59582,lingers long irrelevant engaging gradually turns time,2
59583,lingers,2
59592,irrelevant engaging gradually turns,1
59605,production values christian bale charisma make derivative plot,3
59607,christian bale charisma make derivative plot,3
59610,charisma make derivative plot,2
59611,make derivative plot,3
59615,happy times maintains appealing veneer without becoming cute,3
59616,happy times,2
59619,maintains appealing veneer,3
59623,without becoming cute,2
59626,story dramatic enlightenment screenplay billy ray terry george leaves something desired,1
59631,enlightenment,3
59634,screenplay billy ray terry george,2
59639,billy,2
59640,terry george,2
59643,leaves something,2
59644,bad movie happened good actors,0
59661,rooting film,3
59668,get subjects deaths documentary,1
59669,get subjects deaths,2
59686,uncompelling movie,1
59687,uncompelling,0
59695,particular area interest,2
59708,may straightforward bio,1
59712,bio,2
59722,film oddly fascinating depiction architect pop culture,3
59727,oddly fascinating,3
59743,cinematography atrocious,0
59746,direction clumsy,1
59748,writing insipid,1
59750,violence luridly graphic laughably unconvincing,1
59756,laughably unconvincing,1
59757,sean penn owe nicolas cage apology,2
59763,owe nicolas cage,2
59764,nicolas cage,2
59786,achieves near impossible,4
59791,turns marquis de sade,2
59798,advice skip film pick soundtrack,1
59806,pick soundtrack,2
59811,acted directed clear washington certainly new career ahead,3
59812,acted directed,1
59820,certainly new career ahead,3
59831,lovingly photographed manner golden book sprung life stuart little manages sweetness largely without stickiness,4
59832,lovingly photographed manner golden book sprung life,4
59834,photographed manner golden book sprung life,3
59841,golden,3
59842,sprung life,3
59843,sprung,2
59848,manages sweetness largely,2
59849,manages sweetness,3
59850,without stickiness,3
59851,stickiness,2
59857,critic proof simply,2
59865,want music buy soundtrack,1
59876,delightful entree tradition,4
59879,entree,2
59885,quietly effective retelling,3
59886,quietly effective,3
59888,despite performance sustained intelligence stanford another subtle humour bebe neuwirth older woman seduces oscar film founders lack empathy social milieu rich new york intelligentsia,2
59889,despite performance sustained intelligence stanford another subtle humour bebe neuwirth,2
59890,performance sustained intelligence stanford another subtle humour bebe neuwirth,4
59896,sustained intelligence,2
59900,another subtle humour bebe neuwirth,3
59903,subtle humour,3
59906,bebe,2
59907,neuwirth,2
59916,seduces,2
59919,founders lack empathy social milieu rich new york intelligentsia,2
59920,founders lack empathy,1
59921,founders,2
59934,rich new york intelligentsia,2
59935,new york intelligentsia,2
59936,york intelligentsia,3
59937,intelligentsia,3
59939,though flirts bathos pathos oprahfication world know still cuts way broken bone,2
59940,though flirts bathos pathos oprahfication world know,2
59943,flirts bathos pathos oprahfication world,2
59950,oprahfication world,1
59958,cuts way broken bone,2
59967,baaaaaaaaad movie,0
59968,baaaaaaaaad,0
59971,delightful romantic comedy plenty,4
59983,best film far year franchise sequel starring wesley snipes,4
59985,far year franchise sequel starring wesley snipes,2
59986,year franchise sequel starring wesley snipes,3
59991,starring wesley snipes,2
59993,wesley,2
59995,lrb denis rrb accomplishes chilling unnerving film double portrait two young women whose lives claustrophic suffocating chilly attics inevitably consigned,3
59998,denis rrb accomplishes chilling unnerving film,4
60000,rrb accomplishes chilling unnerving film,2
60001,accomplishes chilling unnerving film,3
60005,chilling unnerving,2
60014,two young women,2
60015,whose lives claustrophic suffocating chilly attics inevitably consigned,1
60021,claustrophic,2
60033,consigned,2
60043,unexplainable,1
60046,seems real,3
60062,cast appealing,3
60069,davis performer,2
60072,plenty fetching enough,3
60074,fetching enough,2
60075,fetching,3
60085,work something n feel like half baked stand routine,0
60090,feel like half baked stand routine,1
60091,like half baked stand routine,1
60094,stand routine,2
60099,big finish n something galinsky hawley could planned,2
60100,n something galinsky hawley could planned,2
60101,something galinsky hawley could planned,2
60102,galinsky hawley could planned,2
60103,galinsky hawley,2
60106,hawley,2
60107,could planned,2
60113,part good documentarian,3
60118,documentarian,3
60126,easier sit jaglom self conscious gratingly irritating films still tainted cliches painful improbability murky points,1
60135,self conscious gratingly irritating films,2
60136,self conscious gratingly,2
60138,gratingly,2
60139,irritating films,1
60144,tainted cliches painful improbability murky points,0
60145,tainted,1
60148,cliches painful improbability murky,0
60153,improbability,2
60154,poignant familiar story young person suspended two cultures,3
60155,poignant familiar story young person,3
60156,poignant familiar story,2
60164,suspended,2
60167,despite comic sparks welcome collinwood never catches fire,1
60168,despite comic sparks,2
60180,even baffling funny,2
60181,even baffling,2
60187,old fashioned emotionally stirring adventure tale kind rarely make anymore,3
60188,old fashioned emotionally stirring adventure tale kind,3
60191,old fashioned emotionally stirring,3
60193,emotionally stirring,3
60194,adventure tale,2
60198,rarely make anymore,2
60201,many movies kind impact days,4
60221,sense light heartedness makes attractive throughout,4
60234,nailbiter,2
60235,feel good movie feel movie,3
60247,sound gunfire cell phones ringing,2
60248,sound gunfire cell phones,2
60252,gunfire,2
60263,comes close either funny scary,2
60264,close either funny scary,2
60268,funny scary,2
60269,soderbergh seems capable delivering artfully lighted earnest inquiries lack kind genuine depth would make redeemable,2
60272,capable delivering artfully lighted earnest inquiries lack kind genuine depth would make redeemable,2
60273,capable delivering artfully lighted earnest inquiries,2
60274,capable delivering,1
60277,artfully lighted earnest inquiries,3
60278,artfully lighted,3
60280,lighted,2
60283,inquiries,2
60286,kind genuine depth would make redeemable,2
60287,kind genuine depth,3
60292,make redeemable,2
60299,common fireworks,2
60305,display movie normally expected characters storyline,1
60310,normally,2
60316,co writer director jonathan parker attempts fashion brazil like hyper real satire fall dreadfully short,0
60317,co writer director jonathan parker attempts fashion brazil like hyper real satire,2
60318,co writer director jonathan parker,2
60319,co writer director,2
60320,attempts fashion brazil like hyper real satire,1
60325,brazil like,2
60328,hyper real,2
60331,dreadfully short,1
60332,dreadfully,1
60333,novak contemplates heartland overwhelmed lack purpose seeks excitement manufactured high drama,1
60337,contemplates,2
60338,heartland overwhelmed lack purpose seeks excitement manufactured high drama,1
60343,overwhelmed lack purpose,1
60350,excitement manufactured high drama,1
60354,blue crush prolonged boring n even close barn burningly bad movie promised would,1
60364,even close barn burningly bad movie promised would,0
60365,close barn burningly bad movie promised would,1
60371,barn burningly,1
60376,viewers need luck muster figuring pretentious mess,0
60380,need luck muster figuring,2
60381,luck muster figuring,2
60393,like afterschool special costumes gianni versace mad love looks better feels,1
60394,like afterschool special costumes gianni versace,2
60395,afterschool special costumes gianni versace,2
60403,gianni,2
60404,versace,3
60407,mad love,2
60411,better feels,2
60414,basic premise intriguing quickly becomes distasteful downright creepy,1
60421,quickly becomes distasteful downright creepy,0
60422,becomes distasteful downright creepy,1
60423,distasteful downright creepy,0
60426,mystery enigma rich historical subject combined much first rate talent could yielded flat plodding picture,1
60427,mystery enigma,2
60435,historical subject,2
60438,combined much first rate talent,4
60447,yielded,2
60462,two things drag mediocrity director clare peploe misunderstanding marivaux rhythms mira sorvino limitations classical actress,1
60463,drag mediocrity director clare peploe misunderstanding marivaux rhythms mira sorvino limitations classical actress,0
60469,director clare peploe misunderstanding marivaux rhythms mira sorvino limitations classical actress,2
60470,director clare peploe,2
60471,clare peploe,2
60475,misunderstanding marivaux rhythms mira sorvino limitations classical actress,1
60476,misunderstanding,2
60484,mira sorvino limitations classical actress,1
60485,mira sorvino limitations,1
60486,mira sorvino,2
60487,mira,2
60493,steadfastly uncinematic powerfully dramatic,3
60494,steadfastly uncinematic powerfully,2
60495,steadfastly,2
60496,uncinematic powerfully,2
60499,emotional richly analytical cosby seinfeld encounter alone confirms serious weight behind superficially loose larky documentary,2
60502,emotional richly,3
60509,cosby seinfeld,2
60510,alone confirms serious weight behind superficially loose larky documentary,2
60514,serious weight behind superficially loose larky documentary,2
60517,behind superficially loose larky documentary,1
60520,superficially loose,1
60523,larky,2
60524,summary plot n quite justice awfulness movie comes painfully execution,0
60525,summary plot,2
60531,justice awfulness movie comes painfully execution,0
60542,comes painfully,2
60546,big fat liar little home alone raised new self deprecating level,0
60555,raised new self deprecating level,3
60561,young everlyn sampi courageous molly craig simply radiates star power potential remarkable memorable film,4
60566,everlyn sampi,2
60567,everlyn,2
60568,sampi,2
60573,molly craig,2
60574,molly,2
60575,craig,2
60576,simply radiates star power potential remarkable memorable film,4
60579,radiates,2
60580,star power potential remarkable memorable film,4
60581,star power potential,3
60586,remarkable memorable,4
60590,simply putters along looking astute observations coming blank,1
60593,putters,1
60594,along looking astute observations coming blank,1
60595,looking astute observations coming blank,1
60600,coming blank,2
60605,beautifully acted,3
60606,incoherence reigns,1
60609,wanton slipperiness corpus amiable jerking reshaping physical time space would make great piece watch kids use introduce video art,4
60610,wanton slipperiness corpus amiable jerking reshaping physical time space,2
60613,wanton,2
60614,slipperiness,2
60625,reshaping physical time space,2
60626,reshaping,2
60629,time space,2
60632,make great piece watch kids use introduce video art,4
60636,piece watch kids use introduce video art,4
60642,use introduce video art,2
60645,introduce video,2
60646,introduce,2
60648,minutes pokemon may last ever seems like,1
60649,minutes pokemon may last ever,2
60650,minutes pokemon,1
60654,may last ever,2
60655,last ever,2
60669,lrb rrb script n level direction uneven performances cast members seem bound determined duplicate bela lugosi cliched vampire accent,1
60670,lrb rrb script n level direction,1
60675,n level direction,2
60693,seem bound determined,2
60694,bound determined,2
60698,duplicate,2
60699,bela lugosi cliched vampire accent,2
60700,bela lugosi,2
60701,bela,2
60704,cliched vampire accent,2
60706,vampire accent,2
60707,cast full caffeinated comedy performances make logical loopholes fly fast time think anyway,3
60708,cast full caffeinated comedy performances,3
60713,comedy performances,2
60722,logical,3
60723,loopholes,2
60737,sluggish pace lack genuine narrative hem movie every bit much life hems spirits young women,1
60738,sluggish pace lack genuine narrative,0
60747,hem movie every bit much life hems,2
60748,hem movie,2
60749,hem,2
60752,every bit much,2
60753,bit much,2
60756,hems,2
60771,funny joke,3
60788,ultimately insignificant,0
60789,insignificant,1
60790,harrowing journey combat hell vividly captures chaotic insanity personal tragedies abundant human hatred spews forth unchecked,2
60791,harrowing journey combat hell,1
60797,vividly captures chaotic insanity personal tragedies abundant human hatred spews forth unchecked,4
60800,chaotic insanity personal tragedies abundant human hatred spews forth unchecked,2
60804,personal tragedies abundant human hatred spews forth unchecked,2
60805,personal tragedies,1
60813,human hatred,1
60815,spews forth unchecked,0
60816,spews,2
60817,forth unchecked,2
60818,unchecked,1
60819,holm terrific men hjejle quite appealing film fails make intriguing premise,2
60828,hjejle quite appealing,3
60829,hjejle,2
60830,quite appealing,4
60844,rare documentary incorporates much,3
60851,human experience drama conflict tears surprise,3
60852,human experience,2
60864,normal divisions fiction nonfiction film,2
60868,divisions,2
60873,nonfiction,2
60874,refreshing change usual whoopee cushion effort aimed youth market,4
60875,refreshing change usual whoopee cushion effort,3
60881,whoopee cushion effort,2
60882,whoopee cushion,2
60888,compelling motion picture illustrates american tragedy,4
60900,disarmingly,3
60901,straightforward strikingly devious,3
60903,strikingly devious,3
60904,strikingly,2
60905,devious,2
60906,much like easily dismissive take upscale lifestyle n much,0
60907,much like easily dismissive take upscale lifestyle,2
60908,much like easily dismissive,1
60909,like easily dismissive,2
60912,dismissive,2
60913,take upscale lifestyle,3
60923,robin williams departs fun friendly demeanor exchange darker unnerving role,2
60928,departs,2
60933,friendly demeanor,3
60938,exchange,2
60942,darker unnerving,2
60946,first cartoon ever look shown projection television screen sports bar,2
60950,ever look shown projection television screen sports bar,1
60963,projection,2
60968,film celebrates radical nonconformist values case fire,2
60973,radical nonconformist values case fire,2
60984,film grows,3
60988,allegiance chekhov director michael cacoyannis displays somber earnestness new adaptation cherry orchard particularly vexing handicap,1
60993,allegiance,2
60997,director michael cacoyannis,3
60998,michael cacoyannis,2
60999,displays somber earnestness new adaptation cherry orchard,3
61003,somber earnestness,2
61013,particularly vexing,2
61014,vexing,2
61015,handicap,2
61016,score film certainly n disappoint,4
61021,certainly n disappoint,3
61024,angela gheorghiu famous prima donna floria tosca roberto alagna lover mario cavaradossi ruggero villainous lecherous police chief scarpia sing beautifully act adequately,3
61025,angela gheorghiu famous prima donna floria tosca roberto alagna lover mario cavaradossi ruggero villainous lecherous police chief scarpia,2
61027,angela,2
61028,gheorghiu,2
61034,prima donna floria tosca,2
61036,donna floria tosca,2
61038,floria tosca,2
61039,floria,2
61040,roberto alagna lover mario cavaradossi ruggero villainous lecherous police chief scarpia,2
61041,roberto alagna,2
61043,alagna,2
61051,mario cavaradossi,2
61052,mario,2
61053,cavaradossi,2
61054,ruggero villainous lecherous police chief scarpia,2
61055,ruggero,2
61059,villainous lecherous,2
61060,villainous,1
61063,police chief scarpia,2
61064,chief scarpia,2
61065,scarpia,2
61071,act adequately,2
61079,customarily,2
61080,jovial air,4
61093,continues interesting work,3
61106,make decent budget,2
61113,mannered teasing,2
61117,foster whitaker especially fine,4
61118,foster whitaker,2
61123,n blame eddie murphy n owen wilson know movie must story script,0
61128,blame eddie murphy,1
61130,owen wilson know movie must story script,1
61133,movie must story script,2
61134,must story script,2
61149,made watchable bravura performance consummate actor incapable boring,2
61150,made watchable bravura performance,3
61151,watchable bravura performance,3
61160,consummate,3
61161,incapable boring,3
61166,gleefully grungy,3
61172,wicked black comedy,3
61173,wicked,3
61179,fair bit vampire fun,3
61189,wrong performances,1
61192,whiney characters bugged,1
61195,whiney,1
61198,kind hands storytelling ultimately makes shanghai ghetto move beyond good dry reliable textbook allows rank worthy predecessors,3
61199,kind hands storytelling,3
61205,makes shanghai ghetto move beyond good dry reliable textbook allows rank worthy predecessors,3
61209,shanghai ghetto move beyond good dry reliable textbook,2
61210,move beyond good dry reliable textbook,2
61211,beyond good dry reliable textbook,2
61227,villainous vampires cup blood blade definitely cut rest,3
61230,villainous vampires,2
61242,cut rest,4
61248,provides grim upsetting glimpse,1
61264,palestinians,2
61271,crowded,2
61272,cities refugee camps,2
61273,cities,2
61276,refugee,2
61280,still updated dickensian sensibility writer craig bartlett story appealing,3
61283,updated dickensian sensibility writer craig bartlett story,3
61287,dickensian sensibility,2
61290,writer craig bartlett,2
61291,craig bartlett,2
61320,however fascinating may history,2
61321,fascinating may history,3
61331,serve work,2
61332,especially well,3
61337,deeply felt emotions draw people together across walls might otherwise separate,3
61339,felt emotions draw people together across walls might otherwise separate,3
61340,emotions draw people together across walls might otherwise separate,3
61343,draw people together,3
61344,draw people,2
61345,across walls might otherwise separate,2
61346,walls might otherwise separate,2
61359,truncated,1
61360,available lovely lovable,2
61369,curious note film like similarly ill timed antitrust easily bad fraction budget,1
61376,like similarly ill timed antitrust,1
61379,similarly ill timed,1
61380,ill timed,1
61381,antitrust,2
61382,easily bad fraction budget,0
61395,moments promise,3
61397,ultimately succumbs cliches pat storytelling,1
61398,succumbs cliches pat storytelling,1
61409,easier watch video home,2
61415,watch video,2
61419,stop die hard french film connoisseurs going enjoying big screen experience,2
61420,stop die hard french film connoisseurs,2
61421,die hard french film connoisseurs,3
61423,french film connoisseurs,2
61424,film connoisseurs,2
